Location,Year,% of missing data outcome indicators (%)
Afghanistan,2008,80
Afghanistan,2009,60
Afghanistan,2011,60
Afghanistan,2010,60
Albania,2008,60
Albania,2009,80
Albania,2011,80
Albania,2010,80
Benin,2008,20
Benin,2009,60
Benin,2011,0
Benin,2010,20
Bhutan,2008,0
Bhutan,2009,0
Bhutan,2011,0
Bhutan,2010,0
Burkina Faso,2008,20
Burkina Faso,2009,0
Burkina Faso,2011,20
Burkina Faso,2010,0
Burundi,2008,20
Burundi,2009,0
Burundi,2011,0
Burundi,2010,0
Cambodia,2008,0
Cambodia,2009,40
Cambodia,2011,0
Cambodia,2010,0
Cameroon,2008,0
Cameroon,2009,0
Cameroon,2011,0
Cameroon,2010,20
Central African Republic,2008,20
Central African Republic,2009,0
Central African Republic,2011,20
Central African Republic,2010,40
Chad,2008,60
Chad,2009,20
Chad,2011,0
Chad,2010,0
Comoros,2008,20
Comoros,2009,100
Comoros,2011,60
Comoros,2010,100
Côte d'Ivoire,2008,20
Côte d'Ivoire,2009,0
Côte d'Ivoire,2011,0
Côte d'Ivoire,2010,100
Democratic Republic of the Congo,2008,20
Democratic Republic of the Congo,2009,20
Democratic Republic of the Congo,2011,20
Democratic Republic of the Congo,2010,20
Djibouti,2008,0
Djibouti,2009,20
Djibouti,2011,0
Djibouti,2010,100
Eritrea,2008,0
Eritrea,2009,0
Eritrea,2011,20
Eritrea,2010,0
Ethiopia,2008,80
Ethiopia,2009,80
Ethiopia,2011,100
Ethiopia,2010,80
Gambia,2008,20
Gambia,2009,20
Gambia,2011,20
Gambia,2010,0
Georgia,2008,0
Georgia,2009,20
Georgia,2011,60
Georgia,2010,20
Ghana,2008,0
Ghana,2009,0
Ghana,2011,20
Ghana,2010,100
Guinea,2008,20
Guinea,2009,0
Guinea,2011,20
Guinea,2010,0
Guinea-Bissau,2008,80
Guinea-Bissau,2009,80
Guinea-Bissau,2011,100
Guinea-Bissau,2010,0
Guyana,2008,20
Guyana,2009,0
Guyana,2011,20
Guyana,2010,0
Haiti,2008,100
Haiti,2009,100
Haiti,2011,100
Haiti,2010,100
Honduras,2008,20
Honduras,2009,20
Honduras,2011,20
Honduras,2010,20
Kenya,2008,60
Kenya,2009,60
Kenya,2011,100
Kenya,2010,100
Kyrgyzstan,2008,0
Kyrgyzstan,2009,0
Kyrgyzstan,2011,0
Kyrgyzstan,2010,0
Lao People's Democratic Republic,2008,0
Lao People's Democratic Republic,2009,0
Lao People's Democratic Republic,2011,0
Lao People's Democratic Republic,2010,0
Lesotho,2008,20
Lesotho,2009,20
Lesotho,2011,40
Lesotho,2010,0
Liberia,2008,20
Liberia,2009,20
Liberia,2011,20
Liberia,2010,100
Madagascar,2008,0
Madagascar,2009,0
Madagascar,2011,20
Madagascar,2010,0
Malawi,2008,20
Malawi,2009,20
Malawi,2011,20
Malawi,2010,20
Mali,2008,0
Mali,2009,0
Mali,2011,0
Mali,2010,0
Mauritania,2008,60
Mauritania,2009,20
Mauritania,2011,40
Mauritania,2010,40
Mongolia,2008,20
Mongolia,2009,20
Mongolia,2011,0
Mongolia,2010,0
Mozambique,2008,20
Mozambique,2009,20
Mozambique,2011,20
Mozambique,2010,20
Nepal,2008,0
Nepal,2009,40
Nepal,2011,20
Nepal,2010,20
Nicaragua,2008,0
Nicaragua,2009,100
Nicaragua,2011,100
Nicaragua,2010,0
Niger,2008,0
Niger,2009,0
Niger,2011,0
Niger,2010,0
Nigeria,2008,20
Nigeria,2009,20
Nigeria,2011,100
Nigeria,2010,20
Pakistan,2008,0
Pakistan,2009,0
Pakistan,2011,20
Pakistan,2010,20
Papua New Guinea,2008,40
Papua New Guinea,2009,80
Papua New Guinea,2011,80
Papua New Guinea,2010,80
Republic of Moldova,2008,0
Republic of Moldova,2009,0
Republic of Moldova,2011,0
Republic of Moldova,2010,0
Rwanda,2008,20
Rwanda,2009,20
Rwanda,2011,40
Rwanda,2010,20
Sao Tome and Principe,2008,0
Sao Tome and Principe,2009,40
Sao Tome and Principe,2011,0
Sao Tome and Principe,2010,0
Senegal,2008,0
Senegal,2009,0
Senegal,2011,0
Senegal,2010,0
Sierra Leone,2008,100
Sierra Leone,2009,100
Sierra Leone,2011,0
Sierra Leone,2010,100
Somalia,2008,100
Somalia,2009,100
Somalia,2011,100
Somalia,2010,100
South Sudan,2008,100
South Sudan,2009,100
South Sudan,2011,0
South Sudan,2010,100
Sudan,2008,60
Sudan,2009,60
Sudan,2011,60
Sudan,2010,0
Tajikistan,2008,0
Tajikistan,2009,0
Tajikistan,2011,0
Tajikistan,2010,0
Timor-Leste,2008,20
Timor-Leste,2009,20
Timor-Leste,2011,20
Timor-Leste,2010,20
Togo,2008,0
Togo,2009,20
Togo,2011,0
Togo,2010,0
Uganda,2008,0
Uganda,2009,20
Uganda,2011,20
Uganda,2010,0
United Republic of Tanzania,2008,40
United Republic of Tanzania,2009,0
United Republic of Tanzania,2011,100
United Republic of Tanzania,2010,20
Uzbekistan,2008,0
Uzbekistan,2009,0
Uzbekistan,2011,0
Uzbekistan,2010,0
Viet Nam,2008,60
Viet Nam,2009,60
Viet Nam,2011,0
Viet Nam,2010,60
Yemen,2008,20
Yemen,2009,100
Yemen,2011,60
Yemen,2010,0
Zambia,2008,20
Zambia,2009,20
Zambia,2011,40
Zambia,2010,20
Zimbabwe,2008,100
Zimbabwe,2009,100
Zimbabwe,2011,100
Zimbabwe,2010,100
,2008,
,2009,
,2011,
,2010,
Average ,2008,27.1186440678
Average ,2009,32.2033898305
Average ,2011,31.5254237288
Average ,2010,30.8474576271
