Location,Year,AID committed for Basic Education as % of GDP
Afghanistan,2008,1.9591685482
Afghanistan,2009,1.5196548747
Afghanistan,2011,0.8005698422
Afghanistan,2010,2.0071687785
Afghanistan,2012,1.2277510241
Albania,2008,0.0651382258
Albania,2009,0.040777066
Albania,2011,0.0225574969
Albania,2010,0.0186902612
Albania,2012,0.0175136805
Benin,2008,0.6142206092
Benin,2009,0.5330847879
Benin,2011,0.2618135159
Benin,2010,0.4979273623
Benin,2012,0.5849935056
Bhutan,2008,1.0103259819
Bhutan,2009,0.0484126776
Bhutan,2011,0.0447333066
Bhutan,2010,0.0426656647
Bhutan,2012,0.03564753
Burkina Faso,2008,1.289784829
Burkina Faso,2009,0.8989076329
Burkina Faso,2011,0.3915909158
Burkina Faso,2010,1.0102494352
Burkina Faso,2012,0.6910115395
Burundi,2008,3.1491306452
Burundi,2009,0.7755117759
Burundi,2011,0.4974528141
Burundi,2010,0.5495904243
Burundi,2012,0.8807351659
Cambodia,2008,0.0975168943
Cambodia,2009,0.1166304398
Cambodia,2011,0.1664977618
Cambodia,2010,0.5494168592
Cambodia,2012,0.0755894744
Cameroon,2008,0.084683518
Cameroon,2009,0.1194813157
Cameroon,2011,0.0466369228
Cameroon,2010,0.0219443554
Cameroon,2012,0.0270667532
Central African Republic,2008,0.3150889924
Central African Republic,2009,0.7380860242
Central African Republic,2011,0.0768189208
Central African Republic,2010,0.2429745368
Central African Republic,2012,0.5295254834
Chad,2008,0.1408577012
Chad,2009,0.0359892003
Chad,2011,0.0248273915
Chad,2010,0.032944395
Chad,2012,0.0456269496
Comoros,2008,0.2536389306
Comoros,2009,0.5310340968
Comoros,2011,0.1374536334
Comoros,2010,0.4940515625
Comoros,2012,0.7981330872
Côte d'Ivoire,2008,0.0133967201
Côte d'Ivoire,2009,0.165368782
Côte d'Ivoire,2011,0.3992243761
Côte d'Ivoire,2010,0.0363087093
Côte d'Ivoire,2012,0.1479873662
Democratic Republic of the Congo,2008,0.3950421432
Democratic Republic of the Congo,2009,0.938056462
Democratic Republic of the Congo,2011,0.3752317243
Democratic Republic of the Congo,2010,0.4943859768
Democratic Republic of the Congo,2012,0.2315183278
Djibouti,2008,0.8737580996
Djibouti,2009,0.6098460439
Djibouti,2011,0.7231790395
Djibouti,2010,1.1105854119
Djibouti,2012,1.3067629911
Eritrea,2008,0.5034357246
Eritrea,2009,0.0311845988
Eritrea,2011,0.3810510736
Eritrea,2010,0.5130851913
Eritrea,2012,0.1721156856
Ethiopia,2008,0.3778602112
Ethiopia,2009,0.7102676012
Ethiopia,2011,0.2824183822
Ethiopia,2010,0.3354567404
Ethiopia,2012,0.6254315629
Gambia,2008,0.1976477178
Gambia,2009,0.3556259156
Gambia,2011,0.1411187375
Gambia,2010,0.6121195021
Gambia,2012,1.5535537775
Georgia,2008,0.2297605705
Georgia,2009,0.1790108442
Georgia,2011,0.0258764011
Georgia,2010,0.1150256264
Georgia,2012,0.0768683418
Ghana,2008,0.3943428596
Ghana,2009,0.2501758429
Ghana,2011,0.2063493033
Ghana,2010,0.2504876611
Ghana,2012,0.1656482436
Guinea,2008,1.3079433916
Guinea,2009,0.0830245847
Guinea,2011,0.0915635051
Guinea,2010,0.0244242848
Guinea,2012,0.4395056907
Guinea-Bissau,2008,1.6774579103
Guinea-Bissau,2009,1.3238179521
Guinea-Bissau,2011,0.4360652322
Guinea-Bissau,2010,1.1126772401
Guinea-Bissau,2012,1.8853704131
Guyana,2008,0.0050650546
Guyana,2009,0.0264471344
Guyana,2011,0.0239975165
Guyana,2010,0.0547495352
Guyana,2012,0.0377726308
Haiti,2008,0.6400269511
Haiti,2009,0.9259135989
Haiti,2011,1.9478015525
Haiti,2010,1.6226136727
Haiti,2012,0.9979109719
Honduras,2008,0.268073317
Honduras,2009,0.1901720506
Honduras,2011,0.4284148394
Honduras,2010,0.1434340535
Honduras,2012,0.2118369973
Kenya,2008,0.1331406095
Kenya,2009,0.1524569379
Kenya,2011,0.2111674125
Kenya,2010,0.0681908427
Kenya,2012,0.2413433521
Kyrgyzstan,2008,0.1470519197
Kyrgyzstan,2009,0.1282731048
Kyrgyzstan,2011,0.1013483594
Kyrgyzstan,2010,0.1430304443
Kyrgyzstan,2012,0.3421028735
Lao People's Democratic Republic,2008,0.2090033327
Lao People's Democratic Republic,2009,0.1809118313
Lao People's Democratic Republic,2011,0.4654813771
Lao People's Democratic Republic,2010,0.6686961955
Lao People's Democratic Republic,2012,0.4802448588
Lesotho,2008,0.4592819502
Lesotho,2009,0.5681709201
Lesotho,2011,0.6121292082
Lesotho,2010,0.3678602118
Lesotho,2012,0.2262168427
Liberia,2008,5.5142581239
Liberia,2009,2.7576380052
Liberia,2011,2.1745872042
Liberia,2010,3.3071782248
Liberia,2012,2.0807681776
Madagascar,2008,0.5320779571
Madagascar,2009,0.184288225
Madagascar,2011,0.3155517119
Madagascar,2010,0.0674114394
Madagascar,2012,0.3376227785
Malawi,2008,0.9622288123
Malawi,2009,0.754998383
Malawi,2011,0.4422824813
Malawi,2010,2.0078858218
Malawi,2012,1.3116135841
Mali,2008,0.721629656
Mali,2009,1.1361657321
Mali,2011,0.7174746953
Mali,2010,0.5786631472
Mali,2012,0.3992495513
Mauritania,2008,0.0776111238
Mauritania,2009,0.0953957039
Mauritania,2011,0.2209925098
Mauritania,2010,0.2299739112
Mauritania,2012,0.2844900965
Mongolia,2008,0.0578149813
Mongolia,2009,0.4670557936
Mongolia,2011,0.0671495752
Mongolia,2010,0.0784050689
Mongolia,2012,0.1095574274
Mozambique,2008,1.1838965493
Mozambique,2009,1.6834542259
Mozambique,2011,0.6346364795
Mozambique,2010,1.5301279828
Mozambique,2012,0.4941715326
Nepal,2008,0.1802943364
Nepal,2009,1.583484294
Nepal,2011,0.0863037076
Nepal,2010,0.1344609924
Nepal,2012,1.0017843839
Nicaragua,2008,0.2592386419
Nicaragua,2009,0.1812084365
Nicaragua,2011,0.1562494666
Nicaragua,2010,0.3440818854
Nicaragua,2012,0.6394276937
Niger,2008,0.6709261957
Niger,2009,0.3305350441
Niger,2011,0.2573561986
Niger,2010,0.5851062598
Niger,2012,0.4265952228
Nigeria,2008,0.0088965012
Nigeria,2009,0.0221356762
Nigeria,2011,0.0096250687
Nigeria,2010,0.0148121673
Nigeria,2012,0.0162142846
Pakistan,2008,0.0869636254
Pakistan,2009,0.3604822156
Pakistan,2011,0.0729911157
