Location,Year,AID committed for total Education as % of GDP
Afghanistan,2008,3.39429383
Afghanistan,2009,2.317299787
Afghanistan,2011,1.6377624605
Afghanistan,2010,3.0076219799
Afghanistan,2012,1.8233532285
Albania,2008,0.64707336
Albania,2009,0.5612776304
Albania,2011,0.5343022436
Albania,2010,0.5322320541
Albania,2012,0.4701428032
Benin,2008,1.2105781275
Benin,2009,1.6079295577
Benin,2011,0.6331849179
Benin,2010,0.995311376
Benin,2012,1.1186545988
Bhutan,2008,1.3690331571
Bhutan,2009,0.399524929
Bhutan,2011,0.2746400107
Bhutan,2010,0.5020366065
Bhutan,2012,0.1542353186
Burkina Faso,2008,2.3051904849
Burkina Faso,2009,1.8634911889
Burkina Faso,2011,0.723423686
Burkina Faso,2010,1.5956845972
Burkina Faso,2012,1.0660265314
Burundi,2008,5.6173423697
Burundi,2009,2.0735221724
Burundi,2011,1.5357119525
Burundi,2010,1.4007703897
Burundi,2012,2.0335929045
Cambodia,2008,0.3228493702
Cambodia,2009,0.3112966391
Cambodia,2011,0.3871846082
Cambodia,2010,0.9489979032
Cambodia,2012,0.2716761935
Cameroon,2008,0.7033924701
Cameroon,2009,0.6329816878
Cameroon,2011,0.4213373775
Cameroon,2010,0.4962632483
Cameroon,2012,0.415296466
Central African Republic,2008,0.8317745592
Central African Republic,2009,1.6888122099
Central African Republic,2011,0.3059198543
Central African Republic,2010,0.7071223364
Central African Republic,2012,0.9197025322
Chad,2008,0.22675561
Chad,2009,0.1107631709
Chad,2011,0.0740960224
Chad,2010,0.0916870575
Chad,2012,0.1844130155
Comoros,2008,1.6710879925
Comoros,2009,3.9518896089
Comoros,2011,1.618526252
Comoros,2010,2.2546481618
Comoros,2012,3.2329020805
Côte d'Ivoire,2008,0.090527043
Côte d'Ivoire,2009,0.3991092345
Côte d'Ivoire,2011,1.0156250936
Côte d'Ivoire,2010,0.158307281
Côte d'Ivoire,2012,0.3729426309
Democratic Republic of the Congo,2008,0.6177599828
Democratic Republic of the Congo,2009,1.7256013738
Democratic Republic of the Congo,2011,0.6933902724
Democratic Republic of the Congo,2010,0.8506980585
Democratic Republic of the Congo,2012,0.5772335247
Djibouti,2008,2.1898824593
Djibouti,2009,1.5313981888
Djibouti,2011,1.6435182889
Djibouti,2010,2.5326060762
Djibouti,2012,2.3827954062
Eritrea,2008,0.590866087
Eritrea,2009,0.0976681206
Eritrea,2011,0.8763279525
Eritrea,2010,1.0535256023
Eritrea,2012,0.4089149094
Ethiopia,2008,0.6846938107
