Location,Year,AID committed for total Education- Current prices (USD millions)
Afghanistan,2008,355.382564
Afghanistan,2009,289.3612244
Afghanistan,2011,293.6671868
Afghanistan,2010,479.4149436
Afghanistan,2012,369.9766036
Albania,2008,84.138949
Albania,2009,68.122266
Albania,2011,68.347943
Albania,2010,62.547911
Albania,2012,59.0029218
Benin,2008,80.6850322
Benin,2009,106.1555094
Benin,2011,46.2478264
Benin,2010,65.3919574
Benin,2012,84.6262204
Bhutan,2008,18.125999
Bhutan,2009,5.625311
Bhutan,2011,5.141261
Bhutan,2010,7.515488
Bhutan,2012,3.340737
Burkina Faso,2008,193.4746374
Burkina Faso,2009,155.9555776
Burkina Faso,2011,75.7569284
Burkina Faso,2010,145.7817448
Burkina Faso,2012,117.646688
Burundi,2008,90.551559
Burundi,2009,36.0792858
Burundi,2011,36.1813736
Burundi,2010,28.3936158
Burundi,2012,50.2704166
Cambodia,2008,33.4213668
Cambodia,2009,32.418432
Cambodia,2011,49.908096
Cambodia,2010,106.809714
Cambodia,2012,38.355245
Cameroon,2008,166.929101
Cameroon,2009,140.33837
Cameroon,2011,107.483165
Cameroon,2010,111.832923
Cameroon,2012,105.2693482
Central African Republic,2008,16.510725
Central African Republic,2009,33.472258
Central African Republic,2011,6.718
Central African Republic,2010,14.0434496
Central African Republic,2012,19.975939
Chad,2008,23.584851
Chad,2009,10.276607
Chad,2011,9.016004
Chad,2010,9.790344
Chad,2012,23.789279
Comoros,2008,8.906899
Comoros,2009,21.2216472
Comoros,2011,9.8891954
Comoros,2010,12.265286
Comoros,2012,19.2680964
Côte d'Ivoire,2008,21.280192
Côte d'Ivoire,2009,89.7836134
Côte d'Ivoire,2011,244.7351788
Côte d'Ivoire,2010,36.353684
Côte d'Ivoire,2012,92.1392064
Democratic Republic of the Congo,2008,71.62927
Democratic Republic of the Congo,2009,191.6798006
Democratic Republic of the Congo,2011,109.2159018
Democratic Republic of the Congo,2010,111.6456132
Democratic Republic of the Congo,2012,99.555466
Djibouti,2008,21.5484434
Djibouti,2009,16.064367
Djibouti,2011,20.3631916
Djibouti,2010,28.5931226
Djibouti,2012,32.2630498
Eritrea,2008,8.153952
Eritrea,2009,1.813697
Eritrea,2011,22.854633
Eritrea,2010,22.303137
Eritrea,2012,12.643649
Ethiopia,2008,180.540064
Ethiopia,2009,432.777721
Ethiopia,2011,191.186255
Ethiopia,2010,177.0167548
Ethiopia,2012,435.4533566
Gambia,2008,4.80356
Gambia,2009,6.823968
Gambia,2011,9.9191174
Gambia,2010,43.798578
Gambia,2012,16.6368756
Georgia,2008,85.273333
Georgia,2009,86.8127572
Georgia,2011,28.011933
Georgia,2010,37.3795268
Georgia,2012,40.695675
Ghana,2008,192.094914
Ghana,2009,121.2690234
Ghana,2011,159.287783
Ghana,2010,149.4976812
Ghana,2012,244.3254536
Guinea,2008,93.774092
Guinea,2009,30.761638
Guinea,2011,38.224962
Guinea,2010,29.861912
Guinea,2012,59.478264
Guinea-Bissau,2008,24.405201
Guinea-Bissau,2009,24.6033048
Guinea-Bissau,2011,9.9986002
Guinea-Bissau,2010,20.120828
Guinea-Bissau,2012,18.954754
Guyana,2008,0.499993
Guyana,2009,1.275439
Guyana,2011,10.915515
Guyana,2010,4.462298
Guyana,2012,1.337044
Haiti,2008,75.1786536
Haiti,2009,103.516102
Haiti,2011,203.8489654
Haiti,2010,197.3335854
Haiti,2012,99.040804
Honduras,2008,72.1338052
Honduras,2009,34.516994
Honduras,2011,82.888737
Honduras,2010,32.056332
Honduras,2012,47.515446
Kenya,2008,70.561371
Kenya,2009,130.754618
Kenya,2011,134.5683834
Kenya,2010,46.635702
Kenya,2012,208.148717
Kyrgyzstan,2008,29.715475
Kyrgyzstan,2009,29.328847
Kyrgyzstan,2011,27.4465786
Kyrgyzstan,2010,19.902262
Kyrgyzstan,2012,60.505475
Lao People's Democratic Republic,2008,37.6082738
