Location,Year,AID disbursed for total Education- Current prices (USD millions)
Afghanistan,2008,240.7472758
Afghanistan,2009,278.1373492
Afghanistan,2011,381.3237462
Afghanistan,2010,398.6279674
Afghanistan,2012,350.4550416
Albania,2008,67.195109
Albania,2009,72.4797826
Albania,2011,74.466225
Albania,2010,70.711224
Albania,2012,74.3661938
Benin,2008,74.1736456
Benin,2009,76.380366
Benin,2011,80.7818766
Benin,2010,69.6731656
Benin,2012,67.3305888
Bhutan,2008,24.0848258
Bhutan,2009,16.7050566
Bhutan,2011,8.5712346
Bhutan,2010,10.875992
Bhutan,2012,4.7209068
Burkina Faso,2008,150.6616754
Burkina Faso,2009,179.9162422
Burkina Faso,2011,145.6332926
Burkina Faso,2010,133.075636
Burkina Faso,2012,125.1480728
Burundi,2008,48.188947
Burundi,2009,44.6229016
Burundi,2011,44.066533
Burundi,2010,45.3478184
Burundi,2012,31.8883656
Cambodia,2008,41.544127
Cambodia,2009,44.094854
Cambodia,2011,77.5558774
Cambodia,2010,50.9635696
Cambodia,2012,71.767123
Cameroon,2008,144.9667418
Cameroon,2009,130.473067
Cameroon,2011,116.588593
Cameroon,2010,110.1941876
Cameroon,2012,111.9590572
Central African Republic,2008,12.0197656
Central African Republic,2009,20.8814804
Central African Republic,2011,19.2154888
Central African Republic,2010,17.4456204
Central African Republic,2012,14.474497
Chad,2008,17.105415
Chad,2009,19.616058
Chad,2011,15.691003
Chad,2010,15.683974
Chad,2012,17.572271
Comoros,2008,15.8230196
Comoros,2009,12.4491722
Comoros,2011,14.3732894
Comoros,2010,15.187108
Comoros,2012,12.7043974
Côte d'Ivoire,2008,29.033658
Côte d'Ivoire,2009,99.258112
Côte d'Ivoire,2011,188.7795228
Côte d'Ivoire,2010,72.129532
Côte d'Ivoire,2012,93.8592524
Democratic Republic of the Congo,2008,83.456396
Democratic Republic of the Congo,2009,185.0409302
Democratic Republic of the Congo,2011,133.639481
Democratic Republic of the Congo,2010,144.6770096
Democratic Republic of the Congo,2012,115.703118
Djibouti,2008,28.582786
Djibouti,2009,22.0726034
Djibouti,2011,27.9419906
Djibouti,2010,30.1524516
Djibouti,2012,26.9038188
Eritrea,2008,15.594375
Eritrea,2009,20.519206
Eritrea,2011,56.81303
Eritrea,2010,17.81773
Eritrea,2012,27.554281
Ethiopia,2008,147.5587518
Ethiopia,2009,356.707989
Ethiopia,2011,315.2199928
Ethiopia,2010,300.1986238
Ethiopia,2012,269.981274
Gambia,2008,12.445665
Gambia,2009,9.004356
Gambia,2011,6.3935184
Gambia,2010,7.21003
Gambia,2012,9.6615856
Georgia,2008,92.420035
Georgia,2009,42.7163
Georgia,2011,43.93831
Georgia,2010,42.0175382
Georgia,2012,44.961346
Ghana,2008,128.0845826
Ghana,2009,172.148475
Ghana,2011,193.112964
Ghana,2010,167.0102168
Ghana,2012,171.642353
Guinea,2008,53.0240524
Guinea,2009,39.2075564
Guinea,2011,50.4554054
Guinea,2010,38.464167
Guinea,2012,56.4254696
Guinea-Bissau,2008,18.2446584
Guinea-Bissau,2009,16.2666956
Guinea-Bissau,2011,11.5213438
Guinea-Bissau,2010,21.6040208
Guinea-Bissau,2012,7.9373328
Guyana,2008,9.983759
Guyana,2009,7.9143734
Guyana,2011,1.720634
Guyana,2010,0.904234
Guyana,2012,3.140978
Haiti,2008,62.0449244
Haiti,2009,96.011665
Haiti,2011,142.5517582
Haiti,2010,164.777965
Haiti,2012,93.7588124
Honduras,2008,57.684604
Honduras,2009,41.070153
Honduras,2011,52.6213808
Honduras,2010,32.9658532
Honduras,2012,44.689157
Kenya,2008,111.215432
Kenya,2009,143.0545308
Kenya,2011,130.4162824
Kenya,2010,48.352712
Kenya,2012,147.0285788
Kyrgyzstan,2008,27.717464
Kyrgyzstan,2009,27.5912924
Kyrgyzstan,2011,42.3490776
Kyrgyzstan,2010,28.945634
Kyrgyzstan,2012,36.66766
Lao People's Democratic Republic,2008,38.7098208
Lao People's Democratic Republic,2009,48.1671204
Lao People's Democratic Republic,2011,55.3531738
Lao People's Democratic Republic,2010,59.0497354
Lao People's Democratic Republic,2012,63.514099
Lesotho,2008,15.6551774
Lesotho,2009,15.101166
Lesotho,2011,23.4798924
Lesotho,2010,20.875069
Lesotho,2012,14.0734818
Liberia,2008,85.2743924
Liberia,2009,26.941286
Liberia,2011,45.0546202
Liberia,2010,50.1134306
Liberia,2012,41.0102136
Madagascar,2008,102.1604352
Madagascar,2009,52.6588338
Madagascar,2011,51.0511588
Madagascar,2010,51.8800942
Madagascar,2012,43.277597
Malawi,2008,100.7367188
Malawi,2009,74.511167
Malawi,2011,68.8257042
Malawi,2010,151.9757868
Malawi,2012,128.4772096
Mali,2008,192.43181
Mali,2009,163.3438874
Mali,2011,155.2691964
Mali,2010,156.1149806
Mali,2012,69.117226
Mauritania,2008,35.627502
Mauritania,2009,28.686
Mauritania,2011,29.9947376
Mauritania,2010,33.154514
Mauritania,2012,28.014869
Mongolia,2008,33.755614
Mongolia,2009,27.878354
Mongolia,2011,60.886949
Mongolia,2010,46.39185
Mongolia,2012,79.6715138
Mozambique,2008,271.8899682
Mozambique,2009,296.0327454
Mozambique,2011,254.0136622
Mozambique,2010,258.9791962
Mozambique,2012,215.7404654
Nepal,2008,92.123687
Nepal,2009,171.827014
Nepal,2011,170.159904
Nepal,2010,141.183237
Nepal,2012,156.540614
Nicaragua,2008,73.37651
Nicaragua,2009,81.896862
Nicaragua,2011,41.3174762
Nicaragua,2010,62.0260446
Nicaragua,2012,27.363593
Niger,2008,61.036987
Niger,2009,43.34446
Niger,2011,42.0617686
Niger,2010,48.3005528
Niger,2012,54.1498334
Nigeria,2008,101.4846154
Nigeria,2009,132.704366
Nigeria,2011,139.76971
Nigeria,2010,165.418576
Nigeria,2012,147.367073
Pakistan,2008,128.0380252
Pakistan,2009,563.733301
Pakistan,2011,553.5553084
Pakistan,2010,540.945765
Pakistan,2012,420.740743
Papua New Guinea,2008,39.84126
Papua New Guinea,2009,57.7393038
Papua New Guinea,2011,100.713626
Papua New Guinea,2010,74.0898182
Papua New Guinea,2012,102.723788
Republic of Moldova,2008,34.8913752
Republic of Moldova,2009,16.883857
Republic of Moldova,2011,41.3539884
Republic of Moldova,2010,49.9342444
Republic of Moldova,2012,34.3977942
Rwanda,2008,112.7770144
Rwanda,2009,115.5325328
Rwanda,2011,144.8930108
Rwanda,2010,103.9695146
Rwanda,2012,72.5421124
Sao Tome and Principe,2008,8.015944
Sao Tome and Principe,2009,8.785009
Sao Tome and Principe,2011,9.010003
Sao Tome and Principe,2010,6.986862
Sao Tome and Principe,2012,8.291072
Senegal,2008,176.52471
Senegal,2009,178.6886502
Senegal,2011,176.921012
Senegal,2010,172.219279
Senegal,2012,223.6509392
Sierra Leone,2008,39.0194122
Sierra Leone,2009,35.7849786
Sierra Leone,2011,28.3773542
Sierra Leone,2010,34.9355208
Sierra Leone,2012,29.2949894
Somalia,2008,18.580997
Somalia,2009,26.843276
Somalia,2011,25.6195018
Somalia,2010,36.9599196
Somalia,2012,49.0647988
South Sudan,2008,0
South Sudan,2009,0
South Sudan,2011,51.361678
South Sudan,2010,0
South Sudan,2012,66.139902
Sudan,2008,63.3083892
Sudan,2009,86.2445184
Sudan,2011,33.313255
Sudan,2010,74.5586562
Sudan,2012,27.685214
Tajikistan,2008,14.306429
Tajikistan,2009,28.075906
Tajikistan,2011,23.3457842
Tajikistan,2010,29.409698
Tajikistan,2012,29.746798
Timor-Leste,2008,28.5728242
Timor-Leste,2009,33.010361
Timor-Leste,2011,44.169272
Timor-Leste,2010,38.4407362
Timor-Leste,2012,34.722589
Togo,2008,30.3844902
Togo,2009,30.5795466
Togo,2011,32.7051238
Togo,2010,32.7467032
Togo,2012,15.626757
Uganda,2008,139.0301908
Uganda,2009,128.4075178
Uganda,2011,84.3533866
Uganda,2010,188.2150228
Uganda,2012,126.4099564
United Republic of Tanzania,2008,190.841202
United Republic of Tanzania,2009,328.7539306
United Republic of Tanzania,2011,187.4754074
United Republic of Tanzania,2010,322.893888
United Republic of Tanzania,2012,260.1877018
Uzbekistan,2008,27.566776
Uzbekistan,2009,30.286287
Uzbekistan,2011,55.48126
Uzbekistan,2010,58.860607
Uzbekistan,2012,47.290954
Viet Nam,2008,275.2360032
Viet Nam,2009,463.5286826
Viet Nam,2011,295.1137964
Viet Nam,2010,312.9214256
Viet Nam,2012,252.9606928
Yemen,2008,82.997009
Yemen,2009,107.780677
Yemen,2011,77.214561
Yemen,2010,92.351252
Yemen,2012,89.015654
Zambia,2008,141.5378268
Zambia,2009,196.8056124
Zambia,2011,80.111283
Zambia,2010,109.4816412
Zambia,2012,66.0915012
Zimbabwe,2008,6.567915
Zimbabwe,2009,19.94614
Zimbabwe,2011,33.059348
Zimbabwe,2010,21.025973
Zimbabwe,2012,65.404786
Total,2008,4475.9027228
Total,2009,5794.8439178
Total,2011,5591.1277648
Total,2010,5601.423575
Total,2012,5122.6080642
