Location;GDP growth (annual %)
Afghanistan;14.4347412712
Albania;1.2999872059
Algeria;3.2999913838
American Samoa;
Andorra;
Angola;5.1886541345
Antigua and Barbuda;3.3122441384
Argentina;0.9461972011
Armenia;7.2
Aruba;
Australia;3.6148417335
Austria;0.870499679
Azerbaijan;2.2
Bahamas, The;1.8321717443
Bahrain;3.3995578427
Bangladesh;6.233705051
Barbados;0.0092936803
Belarus;1.7313912234
Belgium;-0.1438018946
Belize;4.0175019889
Benin;5.3999738765
Bermuda;-4.8686002644
Bhutan;4.6200169055
Bolivia;5.176430946
Bosnia and Herzegovina;-0.7000000372
Botswana;4.2568065743
Brazil;1.0318036484
Brunei Darussalam;0.9483546618
Bulgaria;0.601010623
Burkina Faso;9.5374201145
Burundi;4.0193655324
Cambodia;7.3133455051
Cameroon;4.6
Canada;1.7090056561
Cabo Verde;1.2362627224
Cayman Islands;
Central African Republic;4.0999737919
Chad;8.8825760705
Channel Islands;
Chile;5.3817563669
China;7.652553
Colombia;4.0490258033
Comoros;2.961140068
Congo, Dem. Rep.;7.1578643992
Congo, Rep.;3.7999958518
Costa Rica;5.1338507112
Cote d'Ivoire;9.496
Croatia;-1.8697164344
Cuba;
Curacao;
Cyprus;-2.4
Czech Republic;-1.0211192554
Denmark;-0.3587282621
Djibouti;3.0034964367
Dominica;-1.1844331641
Dominican Republic;3.8876826006
Ecuador;5.1232676756
Egypt, Arab Rep.;2.2130289069
El Salvador;1.8809554607
Equatorial Guinea;3.2171816794
Eritrea;7.017108852
Estonia;3.9389071376
Ethiopia;8.7253129078
Faeroe Islands;
Fiji;2.2021280237
Finland;-1.0080670145
France;0.0138792984
French Polynesia;
Gabon;5.6
Gambia, The;6.0548303269
Georgia;6.1800100102
Germany;0.6886553099
Ghana;8.7898061768
Greece;-6.9726500516
Greenland;
Grenada;-1.7970401691
Guam;
Guatemala;2.969832897
Guinea;3.9441119886
Guinea-Bissau;-1.45
Guyana;4.8164589171
Haiti;2.8850960508
Honduras;3.8631391139
Hong Kong SAR, China;1.5486049594
Hungary;-1.6645052769
Iceland;1.4629593562
India;4.7362796354
Indonesia;6.2636705098
Iran, Islamic Rep.;2.9999999693
Iraq;9.1563279302
Ireland;0.1570323256
Isle of Man;
Israel;3.351850004
Italy;-2.3676811231
Jamaica;0.7242985659
Japan;1.446951894
Jordan;2.6515943436
Kazakhstan;5.0000000003
Kenya;4.5525536832
Kiribati;2.81
Korea, Dem. Rep.;
Korea, Rep.;2.2923824264
Kosovo;2.7
Kuwait;6.1861732325
Kyrgyz Republic;-0.0888321289
Lao PDR;8.1973117785
Latvia;5
Lebanon;2.2
Lesotho;6.5114390371
Liberia;10.2386420305
Libya;104.4844632768
Liechtenstein;
Lithuania;3.7
Luxembourg;-0.175722682
Macao SAR, China;9.1394032386
Macedonia, FYR;-0.4
Madagascar;2.3601111259
Malawi;1.8857995075
Malaysia;5.639831813
Maldives;1.3316298953
Mali;-0.408303574
Malta;1.1
Marshall Islands;3.2729643235
Mauritania;7
Mauritius;3.2277849691
Mexico;3.9830893303
Micronesia, Fed. Sts.;0.4336649816
Moldova;-0.7
Monaco;
Mongolia;12.4011006951
Montenegro;-2.5
Morocco;2.6946642169
Mozambique;7.2415695357
Myanmar;
Namibia;6.6907163868
Nepal;4.8524763403
Netherlands;-1.2471751438
New Caledonia;
New Zealand;2.5299015304
Nicaragua;3.3547404566
Niger;10.8275503401
Nigeria;4.2792773139
Northern Mariana Islands;
Norway;2.896294367
Oman;4.986
Pakistan;4.0159076706
Palau;5.6978201821
Panama;10.2471046592
Papua New Guinea;8
Paraguay;-1.2389685058
Peru;5.9505910793
Philippines;6.8145407078
Poland;1.9050896698
Portugal;-3.2305153947
Puerto Rico;-2.7724990762
Qatar;2.56
Romania;0.3536783975
Russian Federation;3.4355454394
Rwanda;7.3062922517
Samoa;2.9396082892
San Marino;
Sao Tome and Principe;4
Saudi Arabia;5.812
Senegal;3.4529025825
Serbia;-1.523
Seychelles;2.8985
Sierra Leone;15.2238474117
Singapore;2.503728581
Sint Maarten (Dutch part);
Slovak Republic;1.8013052476
Slovenia;-2.5430680958
Solomon Islands;4.8585931835
Somalia;
South Africa;2.4668694939
South Sudan;-48.9829830446
Spain;-1.641456256
Sri Lanka;6.3413615505
St. Kitts and Nevis;-1.2287887654
St. Lucia;-1.2833168806
St. Martin (French part);
St. Vincent and the Grenadines;1.5921616656
Sudan;-10.1
Suriname;3.8777660695
Swaziland;1.9211785253
Sweden;0.9281755581
Switzerland;1.0490934579
Syrian Arab Republic;
Tajikistan;7.5
Tanzania;6.9329883235
Thailand;7.6671737989
Timor-Leste;8.3404987102
Togo;5.9124911196
Tonga;0.8464590804
Trinidad and Tobago;1.521672127
Tunisia;4.0901557194
Turkey;2.1274606134
Turkmenistan;11.1018388818
Turks and Caicos Islands;
Tuvalu;0.1744581448
Uganda;3.410515784
Ukraine;0.2
United Arab Emirates;4.365219161
United Kingdom;0.2777230438
United States;2.7789588371
Uruguay;3.6763673574
Uzbekistan;8.2
Vanuatu;1.8001037524
Venezuela, RB;5.6262685335
Vietnam;5.247367156
Virgin Islands (U.S.);
West Bank and Gaza;13.8372555942
Yemen, Rep.;2.4698785142
Zambia;7.2699652778
Zimbabwe;5.3173568045
