Location,Year,Learning Math Lowest Total - SACMEQ,Learning Math Lowest Total - PASEC,Learning Math Lowest Total - TIMS
Kenya,2007,0.6,,
Lesotho,2007,3.5,,
Malawi,2007,8.6,,
Mozambique,2007,5.1,,
Tanzania,2007,0.7,,
Uganda,2007,5,,
Zambia,2007,13.7,,
Zimbabwe,2007,3.6,,
Burundi,2009/2010,,14.7004,
Chad,2009/2010,,34.392,
Cote d'Ivoire,2009/2010,,44.5256,
Comoros,2009/2010,,28.8,
Democratic Republic of the Congo,2009/2010,,14.7906,
Togo,2009/2010,,29.7009,
Georgia,2011,,,37.9027
Ghana,2011,,,78.586
