Location,Map of the Global Partnership For Education (GPE)
Afghanistan,0
Albania,0
Australia,1
Belgium,1
Benin,0
Bhutan,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,1
Central African Republic,0
Chad,0
Comoros,0
Congo DRC,0
Côte d'Ivoire,0
Denmark,1
Djibouti,0
Eritrea,0
Ethiopia,0
France,1
"Gambia, The",0
Georgia,0
Germany,1
Ghana,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,0
Ireland,1
Italy,1
Japan,1
Kenya,0
Kyrgyz Republic,0
Lao PDR,0
Lesotho,0
Liberia,0
Luxembourg,1
Madagascar,0
Malawi,0
Mali,0
Mauritania,0
Moldova,0
Mongolia,0
Mozambique,0
Nepal,0
Netherlands,1
Nicaragua,0
Niger,0
Nigeria,0
Norway,1
Pakistan,0
Papua New Guinea,0
Romania,1
Russia,1
Rwanda,0
Sao Tome and Principe,0
Senegal,0
Sierra Leone,0
Somalia,0
South Sudan,0
Spain,1
Sudan,0
Sweden,1
Switzerland,1
Tajikistan,0
Tanzania,0
Timor-Leste,0
Togo,0
Uganda,0
United Kingdom,1
United States,1
Uzbekistan,0
Vietnam,0
Yemen,0
Zambia,0
Zimbabwe,0
