Location,Year,World Population
Afghanistan,2008,27032197
Afghanistan,2009,27708187
Afghanistan,2010,28397812
Afghanistan,2011,29105480
Afghanistan,2012,29824536
Albania,2008,2912559
Albania,2009,2884303
Albania,2010,2856673
Albania,2011,2829337
Albania,2012,2801681
Algeria,2008,35725377
Algeria,2009,36383302
Algeria,2010,37062820
Algeria,2011,37762962
Algeria,2012,38481705
American Samoa,2008,57053
American Samoa,2009,56245
American Samoa,2010,55636
American Samoa,2011,55274
American Samoa,2012,55128
Andorra,2008,79969
Andorra,2009,78659
Andorra,2010,77907
Andorra,2011,77865
Andorra,2012,78360
Angola,2008,18314441
Angola,2009,18926650
Angola,2010,19549124
Angola,2011,20180490
Angola,2012,20820525
Antigua and Barbuda,2008,85349
Antigua and Barbuda,2009,86300
Antigua and Barbuda,2010,87233
Antigua and Barbuda,2011,88152
Antigua and Barbuda,2012,89069
Argentina,2008,39676083
Argentina,2009,40023641
Argentina,2010,40374224
Argentina,2011,40728738
Argentina,2012,41086927
Armenia,2008,2977488
Armenia,2009,2968154
Armenia,2010,2963496
Armenia,2011,2964120
Armenia,2012,2969081
Aruba,2008,101344
Aruba,2009,101418
Aruba,2010,101597
Aruba,2011,101932
Aruba,2012,102384
Australia,2008,21249200
Australia,2009,21691700
Australia,2010,22031800
Australia,2011,22340000
Australia,2012,22723900
Austria,2008,8336926
Austria,2009,8365275
Austria,2010,8389771
Austria,2011,8406187
Austria,2012,8429991
Azerbaijan,2008,8763400
Azerbaijan,2009,8947243
Azerbaijan,2010,9054332
Azerbaijan,2011,9173082
Azerbaijan,2012,9295784
"Bahamas, The",2008,348340
"Bahamas, The",2009,354492
"Bahamas, The",2010,360498
"Bahamas, The",2011,366331
"Bahamas, The",2012,371960
Bahrain,2008,1116038
Bahrain,2009,1191539
Bahrain,2010,1251513
Bahrain,2011,1292764
Bahrain,2012,1317827
Bangladesh,2008,147969967
Bangladesh,2009,149503100
Bangladesh,2010,151125475
Bangladesh,2011,152862431
Bangladesh,2012,154695368
Barbados,2008,277634
Barbados,2009,279006
Barbados,2010,280396
Barbados,2011,281804
Barbados,2012,283221
Belarus,2008,9528000
Belarus,2009,9507000
Belarus,2010,9490000
Belarus,2011,9473000
Belarus,2012,9464000
Belgium,2008,10709973
Belgium,2009,10796493
Belgium,2010,10920272
Belgium,2011,11047744
Belgium,2012,11128246
Belize,2008,293544
Belize,2009,301016
Belize,2010,308595
Belize,2011,316280
Belize,2012,324060
Benin,2008,8973293
Benin,2009,9240783
Benin,2010,9509798
Benin,2011,9779795
Benin,2012,10050702
Bermuda,2008,65273
Bermuda,2009,65636
Bermuda,2010,65124
Bermuda,2011,64564
Bermuda,2012,64798
Bhutan,2008,692159
Bhutan,2009,704542
Bhutan,2010,716939
Bhutan,2011,729429
Bhutan,2012,741822
Bolivia,2008,9834098
Bolivia,2009,9993406
Bolivia,2010,10156601
Bolivia,2011,10324445
Bolivia,2012,10496285
Bosnia and Herzegovina,2008,3861201
Bosnia and Herzegovina,2009,3853446
Bosnia and Herzegovina,2010,3845929
Bosnia and Herzegovina,2011,3839322
Bosnia and Herzegovina,2012,3833916
Botswana,2008,1933719
Botswana,2009,1951715
Botswana,2010,1969341
Botswana,2011,1986701
Botswana,2012,2003910
Brazil,2008,191765567
Brazil,2009,193490922
Brazil,2010,195210154
Brazil,2011,196935134
Brazil,2012,198656019
Brunei,2008,388017
Brunei,2009,394400
