Location,Year,Youth (15-24) literacy rate (%) Male
Afghanistan,2007-2012,61.87907
Afghanistan,2000-2005,59.87907
Albania,2007-2012,98.73136
Albania,2000-2005,99.36846
Benin,2007-2012,54.86694
Benin,2000-2005,59.20508
Bhutan,2007-2012,80.04192
Bhutan,2000-2005,80.04192
Burkina Faso,2007-2012,46.73374
Burkina Faso,2000-2005,38.38109
Burundi,2007-2012,89.59275
Burundi,2000-2005,76.78002
Cambodia,2007-2012,88.35612
Cambodia,2000-2005,87.92011
Cameroon,2007-2012,85.39748
Cameroon,2000-2005,88.42245
Central African Republic,2007-2012,48.8571
Central African Republic,2000-2005,72.59475
Chad,2007-2012,53.79584
Chad,2000-2005,55.6862
Comoros,2007-2012,86.31325
Comoros,2000-2005,83.95133
Côte d'Ivoire,2007-2012,72.29478
Côte d'Ivoire,2000-2005,70.84072
Democratic Republic of the Congo,2007-2012,78.93642
Democratic Republic of the Congo,2000-2005,77.98111
Djibouti,2007-2012,
Djibouti,2000-2005,
Eritrea,2007-2012,93.186
Eritrea,2000-2005,86.25322
Ethiopia,2007-2012,62.97093
Ethiopia,2000-2005,62.2
Gambia,2007-2012,73.41031
Gambia,2000-2005,64.34049
Georgia,2007-2012,99.74878
Georgia,2000-2005,99.78848
Ghana,2007-2012,88.31075
Ghana,2000-2005,75.9459
Guinea,2007-2012,37.56715
Guinea,2000-2005,59.46237
Guinea-Bissau,2007-2012,79.69294
Guinea-Bissau,2000-2005,74.80124
Guyana,2007-2012,92.42121
Guyana,2000-2005,89.42121
Haiti,2007-2012,74.36741
Haiti,2000-2005,82.65737
Honduras,2007-2012,94.00283
Honduras,2000-2005,86.89099
Kenya,2007-2012,83.20542
Kenya,2000-2005,93.30952
Kyrgyzstan,2007-2012,99.70463
Kyrgyzstan,2000-2005,99.65078
Lao People's Democratic Republic,2007-2012,89.18749
Lao People's Democratic Republic,2000-2005,88.06197
Lesotho,2007-2012,74.18503
Lesotho,2000-2005,84.82558
Liberia,2007-2012,63.45102
Liberia,2000-2005,63.0036
Madagascar,2007-2012,65.91478
Madagascar,2000-2005,72.65446
Malawi,2007-2012,74.26925
Malawi,2000-2005,70.26925
Mali,2007-2012,56.31502
Mali,2000-2005,36.97091
Mauritania,2007-2012,71.63848
Mauritania,2000-2005,67.73265
Mongolia,2007-2012,98.02181
Mongolia,2000-2005,96.99861
Mozambique,2007-2012,79.84044
Mozambique,2000-2005,74.36055
Nepal,2007-2012,89.23629
Nepal,2000-2005,80.61597
Nicaragua,2007-2012,85.15562
Nicaragua,2000-2005,83.63
Niger,2007-2012,34.53362
Niger,2000-2005,26.23006
Nigeria,2007-2012,75.56594
Nigeria,2000-2005,78.12795
Pakistan,2007-2012,78.04242
Pakistan,2000-2005,76.65172
Papua New Guinea,2007-2012,66.82729
Papua New Guinea,2000-2005,69.13374
Republic of Moldova,2007-2012,100
Republic of Moldova,2000-2005,99.40321
Rwanda,2007-2012,76.65858
Rwanda,2000-2005,78.52217
Sao Tome and Principe,2007-2012,83.05633
Sao Tome and Principe,2000-2005,95.97399
Senegal,2007-2012,73.96651
Senegal,2000-2005,58.48508
Sierra Leone,2007-2012,71.63672
Sierra Leone,2000-2005,59.61425
Somalia,2007-2012,
Somalia,2000-2005,
South Sudan,2007-2012,
South Sudan,2000-2005,
Sudan,2007-2012,90.31431
Sudan,2000-2005,85.69496
Tajikistan,2007-2012,99.85813
Tajikistan,2000-2005,99.84443
Timor-Leste,2007-2012,80.48976
Timor-Leste,2000-2005,76.48976
Togo,2007-2012,86.91668
Togo,2000-2005,83.78623
Uganda,2007-2012,89.63519
Uganda,2000-2005,85.95758
United Republic of Tanzania,2007-2012,76.49114
United Republic of Tanzania,2000-2005,80.91718
Uzbekistan,2007-2012,99.89208
Uzbekistan,2000-2005,99.85337
Viet Nam,2007-2012,97.39524
Viet Nam,2000-2005,95.58781
Yemen,2007-2012,96.71224
Yemen,2000-2005,92.82117
Zambia,2007-2012,70.30841
Zambia,2000-2005,77.72512
Zimbabwe,2007-2012,89.59058
Zimbabwe,2000-2005,87.59058
Average,2007-2012,78.7190305318
Average,2000-2005,78.1461789881
