Location;GDP growth (annual %) in 2012;GDP (current US$)in 2012;GDP per capita (current US$) in 2012;Internet users (per 100 people) in 2012;Life expectancy at birth, total (years) in 2012;Agriculture, value added (% of GDP) in 2012;Population (Total) in 2012;Imports of goods and services (% of GDP) in 2012
Afghanistan;14.4347412712;20506795254.3514;687.5813677152;5.4545454545;60.5091219512;24.6032470746;29824536;39.1423974378
Albania;1.2999872059;12344532541.1994;4406.1163784169;54.6559590399;77.3504634146;21.8260043297;2801681;51.8826469369
Algeria;3.2999913838;204331017992.08;5309.8223686315;15.2280267564;70.8821707317;9.2998302899;38481705;27.6775640325
American Samoa;;;;;;;55128;
Andorra;;;;86.4344246167;;;78360;
Angola;5.1886541345;115332111283.362;5539.3469320952;16.9372101137;51.464;9.9196336643;20820525;41.7545509075
Antigua and Barbuda;3.3122441384;1194074074.07407;13406.1690832284;59;75.6653170732;2.1173434691;89069;51.5167493797
Argentina;0.9461972011;603153016502.593;14679.9252351628;55.8;76.0126829268;6.909453618;41086927;14.0641208983
Armenia;7.2;9958217880.33776;3353.9731251312;39.16;74.4372195122;21.5650911081;2969081;49.3457205974
Aruba;;;;74;75.2067560976;;102384;
Australia;3.6148417335;1532407884934.19;67435.9544327421;79;82.0951219512;2.4216526262;22723900;21.4464853967
Austria;0.870499679;394457535617.266;46792.1656876343;80.029993917;80.9365853659;1.5960878712;8429991;53.9790862377
Azerbaijan;2.2;68730906313.6456;7393.7718769762;54.2;70.6249512195;5.4920572274;9295784;25.6392258542
Bahamas, The;1.8321717443;8149004000;21908.2804602645;71.7482028147;74.9144634146;2.0974780595;371960;62.8916122756
Bahrain;3.3995578427;30362317939.1722;23039.6842219595;88;76.536195122;;1317827;48.4797356852
Bangladesh;6.233705051;116033894877.855;750.0799563556;5.75;70.2948536585;17.6769530612;154695368;32.1216862675
Barbados;0.0092936803;4224850000;14917.1495051568;73.3298136924;75.1320243902;1.4696920308;283221;54.3309229913
Belarus;1.7313912234;63615445566.8483;6721.8349077397;46.91;72.0634146341;9.804845148;9464000;76.726836999
Belgium;-0.1438018946;482918013610.427;43395.6989817108;80.7199905482;80.3853658537;0.7419689614;11128246;85.0300118132
Belize;4.0175019889;1572500000;4852.4964512745;25;73.6991463415;;324060;
Benin;5.3999738765;7543183758.87361;750.5131242448;4.5;59.1194878049;;10050702;
Bermuda;-4.8686002644;5473536000;84470.7552702244;91.2993045243;79.2885365854;0.7775838308;64798;
Bhutan;4.6200169055;1861157558.41271;2508.900461853;25.43;67.8892682927;18.1081251266;741822;64.4910739735
