Location,Year,AID disbursed for Basic Education as % of GDP
Afghanistan,2008,1.3496605817
Afghanistan,2009,1.2658854537
Afghanistan,2011,1.2117373632
Afghanistan,2010,1.7133002271
Afghanistan,2012,1.0772134335
Albania,2008,0.035547739
Albania,2009,0.0525014443
Albania,2011,0.0724559178
Albania,2010,0.0358216516
Albania,2012,0.0687696606
Benin,2008,0.5990741155
Benin,2009,0.5133364132
Benin,2011,0.5862461432
Benin,2010,0.4987740228
Benin,2012,0.4093245658
Bhutan,2008,1.087674577
Bhutan,2009,0.2687029332
Bhutan,2011,0.09357539
Bhutan,2010,0.1803162659
Bhutan,2012,0.0503264728
Burkina Faso,2008,1.2048648243
Burkina Faso,2009,1.2154109284
Burkina Faso,2011,0.7552543526
Burkina Faso,2010,0.8106529389
Burkina Faso,2012,0.6885591736
Burundi,2008,1.3279323201
Burundi,2009,1.2210226897
Burundi,2011,1.0254549448
Burundi,2010,1.0503819536
Burundi,2012,0.6283549474
Cambodia,2008,0.2006223194
Cambodia,2009,0.1856927021
Cambodia,2011,0.2508193576
Cambodia,2010,0.1799602914
Cambodia,2012,0.1923953499
Cameroon,2008,0.1218506759
Cameroon,2009,0.1011162352
Cameroon,2011,0.0648240024
Cameroon,2010,0.059413882
Cameroon,2012,0.0323258841
Central African Republic,2008,0.191616262
Central African Republic,2009,0.4531738244
Central African Republic,2011,0.4018685747
Central African Republic,2010,0.3522630262
Central African Republic,2012,0.2500364871
Chad,2008,0.0884274493
Chad,2009,0.1166522958
Chad,2011,0.0660350222
Chad,2010,0.0787001967
Chad,2012,0.0836686705
Comoros,2008,0.865025666
Comoros,2009,0.576624879
Comoros,2011,0.5263903764
Comoros,2010,0.7411992647
Comoros,2012,0.2185350168
Côte d'Ivoire,2008,0.0263553473
Côte d'Ivoire,2009,0.1821121288
Côte d'Ivoire,2011,0.3530353816
Côte d'Ivoire,2010,0.1153611827
Côte d'Ivoire,2012,0.1462385623
Democratic Republic of the Congo,2008,0.4141530315
Democratic Republic of the Congo,2009,0.9092475162
Democratic Republic of the Congo,2011,0.4839741318
Democratic Republic of the Congo,2010,0.6736227469
Democratic Republic of the Congo,2012,0.4032151939
Djibouti,2008,1.2910803862
Djibouti,2009,0.990001163
Djibouti,2011,0.9168304923
Djibouti,2010,1.1339166785
Djibouti,2012,1.0199591876
Eritrea,2008,0.6818566667
Eritrea,2009,0.5406916532
Eritrea,2011,1.127991296
Eritrea,2010,0.439320855
Eritrea,2012,0.2773528299
Ethiopia,2008,0.2927103588
Ethiopia,2009,0.5744932606
Ethiopia,2011,0.523594565
Ethiopia,2010,0.5174713376
Ethiopia,2012,0.3294676522
Gambia,2008,0.830632417
Gambia,2009,0.5620876249
Gambia,2011,0.3530541196
Gambia,2010,0.2969912863
Gambia,2012,0.5963387445
Georgia,2008,0.2458519656
Georgia,2009,0.0826563156
Georgia,2011,0.0797337548
Georgia,2010,0.0837902397
Georgia,2012,0.0868048421
Ghana,2008,0.2533187616
Ghana,2009,0.3482960405
Ghana,2011,0.2632144702
Ghana,2010,0.2821262409
Ghana,2012,0.2088137876
Guinea,2008,0.5306164534
Guinea,2009,0.2171349342
Guinea,2011,0.2345819711
Guinea,2010,0.1343733313
Guinea,2012,0.3064665536
Guinea-Bissau,2008,1.2836578158
Guinea-Bissau,2009,0.9024178802
Guinea-Bissau,2011,0.5649992673
Guinea-Bissau,2010,1.1525924612
Guinea-Bissau,2012,0.4867894168
Guyana,2008,0.4450949558
Guyana,2009,0.1947050988
Guyana,2011,0.027858246
Guyana,2010,0.0193780212
Guyana,2012,0.0700413366
Haiti,2008,0.5166244
Haiti,2009,0.9152696276
Haiti,2011,1.2040191473
Haiti,2010,1.493751931
Haiti,2012,0.6796373728
Honduras,2008,0.245900495
Honduras,2009,0.1551447238
Honduras,2011,0.1990959964
Honduras,2010,0.102481881
Honduras,2012,0.1902624757
Kenya,2008,0.2226315653
Kenya,2009,0.2416153069
