Location,Year,AID disbursed for Basic Education- Current prices (USD millions)
Afghanistan,2008,141.3094629
Afghanistan,2009,158.0711166
Afghanistan,2011,217.2766266
Afghanistan,2010,273.1000562
Afghanistan,2012,218.5773778
Albania,2008,4.6222725
Albania,2009,6.3721003
Albania,2011,9.268561
Albania,2010,4.2097605
Albania,2012,8.6305924
Benin,2008,39.9282898
Benin,2009,33.89047
Benin,2011,42.8194183
Benin,2010,32.7694533
Benin,2012,30.9654034
Bhutan,2008,14.4008114
Bhutan,2009,3.7833373
Bhutan,2011,1.7517313
Bhutan,2010,2.6993345
Bhutan,2012,1.0900714
Burkina Faso,2008,101.1243047
Burkina Faso,2009,101.7177406
Burkina Faso,2011,79.0902358
Burkina Faso,2010,74.0612525
Burkina Faso,2012,75.9893904
Burundi,2008,21.406269
Burundi,2009,21.2457948
Burundi,2011,24.1597185
Burundi,2010,21.2912422
Burundi,2012,15.5329343
Cambodia,2008,20.7684225
Cambodia,2009,19.338038
Cambodia,2011,32.3306152
Cambodia,2010,20.2545308
Cambodia,2012,27.1623755
Cameroon,2008,28.9176024
Cameroon,2009,22.4184805
Cameroon,2011,16.536603
Cameroon,2010,13.3889183
Cameroon,2012,8.1939651
Central African Republic,2008,3.8035828
Central African Republic,2009,8.9819052
Central African Republic,2011,8.8250339
Central African Republic,2010,6.9959437
Central African Republic,2012,5.4307925
Chad,2008,9.197339
Chad,2009,10.823
Chad,2011,8.0351415
Chad,2010,8.403607
Chad,2012,10.7932585
Comoros,2008,4.6105868
Comoros,2009,3.0964756
Comoros,2011,3.2162452
Comoros,2010,4.032124
Comoros,2012,1.3024687
Côte d'Ivoire,2008,6.1953515
Côte d'Ivoire,2009,40.9679445
Côte d'Ivoire,2011,85.0709359
Côte d'Ivoire,2010,26.491542
Côte d'Ivoire,2012,36.1296992
Democratic Republic of the Congo,2008,48.021044
Democratic Republic of the Congo,2009,100.9992141
Democratic Republic of the Congo,2011,76.2307655
Democratic Republic of the Congo,2010,88.4062493
Democratic Republic of the Congo,2012,69.5425245
Djibouti,2008,12.704231
Djibouti,2009,10.3851122
Djibouti,2011,11.3595298
Djibouti,2010,12.8019193
Djibouti,2012,13.8102474
Eritrea,2008,9.409622
Eritrea,2009,10.040644
Eritrea,2011,29.418013
Eritrea,2010,9.3004225
Eritrea,2012,8.5757495
Ethiopia,2008,77.1818674
Ethiopia,2009,183.188666
Ethiopia,2011,164.4086934
Ethiopia,2010,152.1158744
Ethiopia,2012,140.076467
Gambia,2008,8.0072965
Gambia,2009,5.0644095
Gambia,2011,3.1880787
Gambia,2010,2.862996
Gambia,2012,5.4147558
Georgia,2008,31.456759
Georgia,2009,8.8996055
Georgia,2011,11.5095675
Georgia,2010,9.7515081
Georgia,2012,13.7412065
Ghana,2008,72.2667763
Ghana,2009,89.8568955
Ghana,2011,102.0008715
Ghana,2010,90.8051519
Ghana,2012,84.433855
Guinea,2008,23.9679452
Guinea,2009,10.0642042
Guinea,2011,12.0199802
Guinea,2010,6.6232615
Guinea,2012,17.2601963
Guinea-Bissau,2008,10.8725817
Guinea-Bissau,2009,7.5351893
Guinea-Bissau,2011,5.4748429
Guinea-Bissau,2010,9.6471989
Guinea-Bissau,2012,4.0062769
Guyana,2008,8.559176
Guyana,2009,3.9408312
Guyana,2011,0.717907
Guyana,2010,0.4377495
Guyana,2012,1.980769
Haiti,2008,33.8388982
Haiti,2009,59.968466
Haiti,2011,88.9529346
Haiti,2010,97.855689
Haiti,2012,53.7049452
Honduras,2008,34.0277105
Honduras,2009,22.5533885
Honduras,2011,35.1384524
Honduras,2010,16.1757401
Honduras,2012,35.198558
Kenya,2008,67.829159
Kenya,2009,73.9342839
Kenya,2011,67.6617712
Kenya,2010,23.408886
Kenya,2012,71.1784454
Kyrgyzstan,2008,11.041454
Kyrgyzstan,2009,8.6903147
Kyrgyzstan,2011,13.9067193
Kyrgyzstan,2010,9.3424995
Kyrgyzstan,2012,12.447424
Lao People's Democratic Republic,2008,16.1191034
Lao People's Democratic Republic,2009,21.0993692
Lao People's Democratic Republic,2011,30.0238784
Lao People's Democratic Republic,2010,31.2993417
Lao People's Democratic Republic,2012,27.525894
Lesotho,2008,5.7436382
Lesotho,2009,11.830971
Lesotho,2011,11.8096842
Lesotho,2010,11.5857545
Lesotho,2012,7.4822219
Liberia,2008,48.7860862
Liberia,2009,21.8657325
Liberia,2011,32.9495711
Liberia,2010,36.8991358
Liberia,2012,32.0655713
Madagascar,2008,49.0370511
Madagascar,2009,24.8641579
Madagascar,2011,23.8485064
Madagascar,2010,23.0457686
Madagascar,2012,16.7725345
Malawi,2008,61.5758274
Malawi,2009,49.6826445
Malawi,2011,55.5409676
Malawi,2010,99.5950584
Malawi,2012,79.9087398
Mali,2008,130.9987675
Mali,2009,106.3114697
Mali,2011,86.2696457
Mali,2010,90.5849143
Mali,2012,39.518962
Mauritania,2008,16.2843855
Mauritania,2009,10.3858795
Mauritania,2011,7.9574818
Mauritania,2010,11.2018125
Mauritania,2012,5.392531
Mongolia,2008,13.395643
Mongolia,2009,5.3926595
Mongolia,2011,21.5009425
Mongolia,2010,16.5006975
Mongolia,2012,26.7383314
Mozambique,2008,154.6441001
Mozambique,2009,180.3653862
Mozambique,2011,140.9002181
Mozambique,2010,139.0562401
Mozambique,2012,105.3182177
Nepal,2008,67.554957
Nepal,2009,130.3036585
Nepal,2011,77.1769485
Nepal,2010,69.9486715
Nepal,2012,72.5569065
Nicaragua,2008,42.8168565
Nicaragua,2009,42.449224
Nicaragua,2011,19.1201896
Nicaragua,2010,22.6936683
Nicaragua,2012,17.5074495
Niger,2008,39.9233835
Niger,2009,25.9658115
Niger,2011,20.2483053
Niger,2010,14.2624019
Niger,2012,29.0521917
Nigeria,2008,37.0776597
Nigeria,2009,43.0047135
Nigeria,2011,55.184891
Nigeria,2010,72.1857545
Nigeria,2012,49.819612
Pakistan,2008,88.3674016
Pakistan,2009,288.832432
Pakistan,2011,287.8861882
Pakistan,2010,253.8067295
Pakistan,2012,206.7556645
Papua New Guinea,2008,22.713348
Papua New Guinea,2009,41.7279414
Papua New Guinea,2011,54.001701
Papua New Guinea,2010,42.6091736
Papua New Guinea,2012,45.548098
Republic of Moldova,2008,10.7283986
Republic of Moldova,2009,0.6508115
Republic of Moldova,2011,13.2564262
Republic of Moldova,2010,18.4472567
Republic of Moldova,2012,10.3258291
Rwanda,2008,71.3843347
Rwanda,2009,61.2520484
Rwanda,2011,64.1181094
Rwanda,2010,38.3634273
Rwanda,2012,29.1303982
Sao Tome and Principe,2008,1.3353465
Sao Tome and Principe,2009,1.799451
Sao Tome and Principe,2011,1.900831
Sao Tome and Principe,2010,0.3028555
Sao Tome and Principe,2012,1.5290915
Senegal,2008,67.875598
Senegal,2009,62.9389916
Senegal,2011,66.441138
Senegal,2010,62.3084225
Senegal,2012,75.7441201
Sierra Leone,2008,23.8236996
Sierra Leone,2009,24.6936968
Sierra Leone,2011,14.8592991
Sierra Leone,2010,16.7846569
Sierra Leone,2012,15.3977622
Somalia,2008,16.5933245
Somalia,2009,23.2343155
Somalia,2011,18.3706614
Somalia,2010,28.1246703
Somalia,2012,31.3541024
South Sudan,2008,0
South Sudan,2009,0
South Sudan,2011,36.3540175
South Sudan,2010,0
South Sudan,2012,45.0080715
Sudan,2008,43.3041476
Sudan,2009,51.2737502
Sudan,2011,17.304762
Sudan,2010,44.7500961
Sudan,2012,9.546621
Tajikistan,2008,9.09116
Tajikistan,2009,16.9766
Tajikistan,2011,12.7281486
Tajikistan,2010,16.672991
Tajikistan,2012,16.85609
Timor-Leste,2008,15.2828576
Timor-Leste,2009,15.743795
Timor-Leste,2011,20.4309575
Timor-Leste,2010,15.8374156
Timor-Leste,2012,11.9777845
Togo,2008,10.1268481
Togo,2009,11.2788733
Togo,2011,14.1599139
Togo,2010,12.9427166
Togo,2012,3.9761015
Uganda,2008,79.8411629
Uganda,2009,58.1547734
Uganda,2011,51.2053208
Uganda,2010,83.9283204
Uganda,2012,37.0081282
United Republic of Tanzania,2008,81.7808485
United Republic of Tanzania,2009,143.2772458
United Republic of Tanzania,2011,59.1606082
United Republic of Tanzania,2010,129.475662
United Republic of Tanzania,2012,120.7111204
Uzbekistan,2008,2.890147
Uzbekistan,2009,5.8339715
Uzbekistan,2011,12.25913
Uzbekistan,2010,14.3410665
Uzbekistan,2012,6.3946635
Viet Nam,2008,91.7087796
Viet Nam,2009,184.3431953
Viet Nam,2011,85.9440632
Viet Nam,2010,123.7269603
Viet Nam,2012,64.9260744
Yemen,2008,60.8836745
Yemen,2009,72.912993
Yemen,2011,46.3684735
Yemen,2010,62.6794985
Yemen,2012,52.277581
Zambia,2008,79.3489789
Zambia,2009,102.7118122
Zambia,2011,42.3270275
Zambia,2010,59.0927796
Zambia,2012,38.9576941
Zimbabwe,2008,2.419993
Zimbabwe,2009,9.6184515
Zimbabwe,2011,20.6177125
Zimbabwe,2010,11.0668765
Zimbabwe,2012,52.2001905
Total,2008,2308.9263244
Total,2009,2876.6044549
Total,2011,2672.5947129
Total,2010,2691.353706
Total,2012,2356.4540996
