Location,Year,Youth (15-24) literacy rate (%) Total
Afghanistan,2007-2012,46.99005
Afghanistan,2000-2005,44.99005
Albania,2007-2012,98.79119
Albania,2000-2005,99.43515
Benin,2007-2012,42.3627
Benin,2000-2005,45.30962
Bhutan,2007-2012,74.40521
Bhutan,2000-2005,74.40521
Burkina Faso,2007-2012,39.25778
Burkina Faso,2000-2005,31.22926
Burundi,2007-2012,88.88637
Burundi,2000-2005,73.33006
Cambodia,2007-2012,87.13246
Cambodia,2000-2005,83.38286
Cameroon,2007-2012,80.57444
Cameroon,2000-2005,83.09829
Central African Republic,2007-2012,36.35627
Central African Republic,2000-2005,60.80705
Chad,2007-2012,48.92033
Chad,2000-2005,37.55735
Comoros,2007-2012,86.41433
Comoros,2000-2005,80.18576
Côte d'Ivoire,2007-2012,67.52731
Côte d'Ivoire,2000-2005,60.72365
Democratic Republic of the Congo,2007-2012,65.77653
Democratic Republic of the Congo,2000-2005,70.41626
Djibouti,2007-2012,
Djibouti,2000-2005,
Eritrea,2007-2012,90.95256
Eritrea,2000-2005,77.94529
Ethiopia,2007-2012,54.98298
Ethiopia,2000-2005,49.9
Gambia,2007-2012,69.43474
Gambia,2000-2005,52.55502
Georgia,2007-2012,99.80049
Georgia,2000-2005,99.82542
Ghana,2007-2012,85.71615
Ghana,2000-2005,70.66306
Guinea,2007-2012,31.40642
Guinea,2000-2005,47.09126
Guinea-Bissau,2007-2012,74.27579
Guinea-Bissau,2000-2005,59.49285
Guyana,2007-2012,93.09894
Guyana,2000-2005,90.09894
Haiti,2007-2012,72.34672
Haiti,2000-2005,81.61633
Honduras,2007-2012,94.98095
Honduras,2000-2005,88.94272
Kenya,2007-2012,82.39047
Kenya,2000-2005,92.52818
Kyrgyzstan,2007-2012,99.75185
Kyrgyzstan,2000-2005,99.69563
Lao People's Democratic Republic,2007-2012,83.93106
Lao People's Democratic Republic,2000-2005,80.59856
Lesotho,2007-2012,83.19441
Lesotho,2000-2005,90.9269
Liberia,2007-2012,49.07411
Liberia,2000-2005,49.15212
Madagascar,2007-2012,64.94025
Madagascar,2000-2005,70.23622
Malawi,2007-2012,72.13956
Malawi,2000-2005,68.13956
Mali,2007-2012,47.13698
Mali,2000-2005,30.54688
Mauritania,2007-2012,68.95474
Mauritania,2000-2005,61.33665
Mongolia,2007-2012,98.46025
Mongolia,2000-2005,97.71012
Mozambique,2007-2012,67.14964
Mozambique,2000-2005,61.89289
Nepal,2007-2012,82.35369
Nepal,2000-2005,70.05362
Nicaragua,2007-2012,87.00925
Nicaragua,2000-2005,86.22252
Niger,2007-2012,23.52378
Niger,2000-2005,19.79119
Nigeria,2007-2012,66.38354
Nigeria,2000-2005,68.99378
Pakistan,2007-2012,70.76933
Pakistan,2000-2005,65.08658
Papua New Guinea,2007-2012,71.19374
Papua New Guinea,2000-2005,66.67899
Republic of Moldova,2007-2012,100
Republic of Moldova,2000-2005,99.52508
Rwanda,2007-2012,77.34463
Rwanda,2000-2005,77.62033
Sao Tome and Principe,2007-2012,80.20316
Sao Tome and Principe,2000-2005,95.41546
Senegal,2007-2012,66.03274
Senegal,2000-2005,49.12449
Sierra Leone,2007-2012,62.71661
Sierra Leone,2000-2005,47.92761
Somalia,2007-2012,
Somalia,2000-2005,
South Sudan,2007-2012,
South Sudan,2000-2005,
Sudan,2007-2012,87.91188
Sudan,2000-2005,78.15559
Tajikistan,2007-2012,99.87011
Tajikistan,2000-2005,99.84706
Timor-Leste,2007-2012,79.52868
Timor-Leste,2000-2005,75.52868
Togo,2007-2012,79.88591
Togo,2000-2005,74.43957
Uganda,2007-2012,87.40883
Uganda,2000-2005,80.79116
United Republic of Tanzania,2007-2012,74.56052
United Republic of Tanzania,2000-2005,78.39605
Uzbekistan,2007-2012,99.94198
Uzbekistan,2000-2005,99.87435
Viet Nam,2007-2012,97.09167
Viet Nam,2000-2005,94.83651
Yemen,2007-2012,87.41462
Yemen,2000-2005,76.9273
Zambia,2007-2012,64.04964
Zambia,2000-2005,69.08881
Zimbabwe,2007-2012,90.9307
Zimbabwe,2000-2005,88.9307
Average,2007-2012,72.9804319159
Average,2000-2005,70.6893386276
