Location,Year,Youth (15-24) literacy rate (%) female
Afghanistan,2007-2012,32.11322
Afghanistan,2000-2005,30.11322
Albania,2007-2012,98.85624
Albania,2000-2005,99.49808
Benin,2007-2012,30.78655
Benin,2000-2005,33.238
Bhutan,2007-2012,67.96426
Bhutan,2000-2005,67.96426
Burkina Faso,2007-2012,33.12532
Burkina Faso,2000-2005,24.81137
Burundi,2007-2012,88.11345
Burundi,2000-2005,70.3653
Cambodia,2007-2012,85.86868
Cambodia,2000-2005,78.896
Cameroon,2007-2012,76.42093
Cameroon,2000-2005,77.96249
Central African Republic,2007-2012,26.97133
Central African Republic,2000-2005,49.01935
Chad,2007-2012,43.99729
Chad,2000-2005,23.2354
Comoros,2007-2012,86.51807
Comoros,2000-2005,77.55762
Côte d'Ivoire,2007-2012,62.74958
Côte d'Ivoire,2000-2005,52.12517
Democratic Republic of the Congo,2007-2012,53.25022
Democratic Republic of the Congo,2000-2005,63.0907
Djibouti,2007-2012,
Djibouti,2000-2005,
Eritrea,2007-2012,88.68132
Eritrea,2000-2005,69.4834
Ethiopia,2007-2012,47.04113
Ethiopia,2000-2005,38.5
Gambia,2007-2012,65.54938
Gambia,2000-2005,41.39434
Georgia,2007-2012,99.85287
Georgia,2000-2005,99.86236
Ghana,2007-2012,83.23453
Ghana,2000-2005,65.48871
Guinea,2007-2012,21.79673
Guinea,2000-2005,34.06904
Guinea-Bissau,2007-2012,68.86572
Guinea-Bissau,2000-2005,45.90365
Guyana,2007-2012,93.67022
Guyana,2000-2005,90.67022
Haiti,2007-2012,70.48078
Haiti,2000-2005,80.68945
Honduras,2007-2012,95.98721
Honduras,2000-2005,90.91032
Kenya,2007-2012,81.63257
Kenya,2000-2005,91.94255
Kyrgyzstan,2007-2012,99.79959
Kyrgyzstan,2000-2005,99.74129
Lao People's Democratic Republic,2007-2012,78.73984
Lao People's Democratic Republic,2000-2005,73.56058
Lesotho,2007-2012,92.09389
Lesotho,2000-2005,97.49609
Liberia,2007-2012,37.17031
Liberia,2000-2005,35.03327
Madagascar,2007-2012,63.96708
Madagascar,2000-2005,68.18623
Malawi,2007-2012,69.98174
Malawi,2000-2005,65.98174
Mali,2007-2012,39.00856
Mali,2000-2005,23.91412
Mauritania,2007-2012,66.18019
Mauritania,2000-2005,55.48371
Mongolia,2007-2012,98.90874
Mongolia,2000-2005,98.43194
Mozambique,2007-2012,56.54005
Mozambique,2000-2005,50.03891
Nepal,2007-2012,77.46866
Nepal,2000-2005,60.14379
Nicaragua,2007-2012,88.84248
Nicaragua,2000-2005,88.81788
Niger,2007-2012,15.05777
Niger,2000-2005,14.23355
Nigeria,2007-2012,57.95389
Nigeria,2000-2005,60.50937
Pakistan,2007-2012,63.13681
Pakistan,2000-2005,53.08856
Papua New Guinea,2007-2012,75.81795
Papua New Guinea,2000-2005,64.05813
Republic of Moldova,2007-2012,100
Republic of Moldova,2000-2005,99.65157
Rwanda,2007-2012,77.97246
Rwanda,2000-2005,76.86258
Sao Tome and Principe,2007-2012,77.33728
Sao Tome and Principe,2000-2005,94.85257
Senegal,2007-2012,58.99902
Senegal,2000-2005,40.96837
Sierra Leone,2007-2012,53.82065
Sierra Leone,2000-2005,37.35752
Somalia,2007-2012,
Somalia,2000-2005,
South Sudan,2007-2012,
South Sudan,2000-2005,
Sudan,2007-2012,85.45938
Sudan,2000-2005,72.33138
Tajikistan,2007-2012,99.88239
Tajikistan,2000-2005,99.84972
Timor-Leste,2007-2012,78.56844
Timor-Leste,2000-2005,74.56844
Togo,2007-2012,72.70812
Togo,2000-2005,63.55485
Uganda,2007-2012,85.47146
Uganda,2000-2005,76.1791
United Republic of Tanzania,2007-2012,72.771
United Republic of Tanzania,2000-2005,76.20202
Uzbekistan,2007-2012,99.99349
Uzbekistan,2000-2005,99.89448
Viet Nam,2007-2012,96.78113
Viet Nam,2000-2005,94.05552
Yemen,2007-2012,77.80584
Yemen,2000-2005,60.46399
Zambia,2007-2012,58.47755
Zambia,2000-2005,66.31098
Zimbabwe,2007-2012,92.12456
Zimbabwe,2000-2005,90.12456
Average,2007-2012,67.4985493268
Average,2000-2005,63.6159222831
